interval,probe1,probe2,feedbackColour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_Text.started,Welcome_Text.stopped,Welcome_Response.keys,Welcome_Response.rt,Welcome_Response.started,Welcome_Response.stopped,Instructions_Text.started,Instructions_Text.stopped,Instructions_Response.keys,Instructions_Response.rt,Instructions_Response.started,Instructions_Response.stopped,Long_Tone1.started,Long_Tone1.stopped,Delay.started,Delay.stopped,ISI.started,ISI.stopped,Long_Tone2.started,Long_Tone2.stopped,Bandpass_Noise1.started,Bandpass_Noise1.stopped,Bandpass_Noise2.started,Bandpass_Noise2.stopped,Interval1.started,Interval1.stopped,Interval2.started,Interval2.stopped,Question_Text.started,Question_Text.stopped,Question_Response.keys,Question_Response.rt,Question_Response.started,Question_Response.stopped,Feedback_text.started,Feedback_text.stopped,Next_Text.started,Next_Text.stopped,Next_Response.keys,Next_Response.rt,Next_Response.started,Next_Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.024586563929915,None,space,0.36838418105617166,11.024586563929915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
,,,,,,,,,,,,,,11.744676552945748,None,space,0.40205421298742294,11.744676552945748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
1,1,0,None,0,0,0,2,,,,,,,,,,,,,13.243984957924113,13.444172563031316,12.194307097001001,13.177243764977902,13.493960144929588,14.277243949007243,14.344028502935544,14.544206422986463,13.194062274880707,13.493960144929588,14.294214744819328,14.577321102842689,13.194062274880707,13.477326333988458,14.294214744819328,14.577321102842689,14.87755758385174,None,1,0.7341525871306658,14.87755758385174,None,15.643942796858028,None,16.927382617024705,None,space,1.6094977499451488,16.927382617024705,None,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
2,0,1,None,0,1,1,1,,,,,,,,,,,,,19.628275614930317,19.828210258856416,18.56063536182046,19.560602694982663,19.87732120603323,20.66059843986295,20.727265124907717,20.927273998968303,19.57746886392124,19.87732120603323,20.677294584922493,20.960502853849903,19.57746886392124,19.8606368759647,20.677294584922493,20.960502853849903,21.244004362961277,None,2,0.3977188819553703,21.244004362961277,None,21.66070813499391,None,22.944167834008113,None,space,1.7350849679205567,22.944167834008113,None,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
1,1,0,None,0,2,2,4,,,,,,,,,,,,,25.777120732003823,25.977208269992843,24.710460179951042,25.710560808889568,26.02711641602218,26.810384285869077,26.877161700977013,27.077165488852188,25.7272604489699,26.044086248846725,26.82713664183393,27.110568574862555,25.7272604489699,26.01050374796614,26.82713664183393,27.110568574862555,27.410751758841798,None,1,0.5646988630760461,27.410751758841798,None,27.993805004982278,None,29.27732657501474,None,space,2.0506344989407808,29.27732657501474,None,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
2,0,1,None,0,3,3,3,,,,,,,,,,,,,32.427213741932064,32.62723982986063,31.36039668088779,32.3604524738621,32.67713629594073,33.460370315937325,33.527193755842745,33.727222498040646,32.37714142492041,32.69396814494394,33.47714355890639,33.760551534825936,32.37714142492041,32.66050800890662,33.47714355890639,33.760551534825936,34.06068347301334,None,2,0.3385462099686265,34.06068347301334,None,34.42726951185614,None,35.71066996199079,None,space,1.0735270320437849,35.71066996199079,None,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
1,1,0,None,0,4,4,0,,,,,,,,,,,,,37.86102774296887,38.06051186192781,36.81055492791347,37.84633875195868,38.127045089844614,38.91046356386505,38.9770082058385,39.17715937294997,37.86102774296887,38.16042438684963,38.92701658094302,39.210338537814096,37.86102774296887,38.11039717984386,38.92701658094302,39.210338537814096,39.493931656936184,None,2,0.29406177112832665,39.493931656936184,None,39.81031599803828,None,41.094254850875586,None,space,0.8312301570549607,41.094254850875586,None,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
2,0,1,None,1,0,5,3,,,,,,,,,,,,,43.01085645589046,43.210842811036855,41.944108553929254,42.94433463085443,43.26093499502167,44.04414846887812,44.11084786290303,44.31084370194003,42.960894628893584,43.27744476683438,44.06089040497318,44.34422997198999,42.960894628893584,43.24427545093931,44.06089040497318,44.34422997198999,44.62785727996379,None,2,1.2689972419757396,44.62785727996379,None,45.92771225096658,None,47.19441447593272,None,space,1.1661984948441386,47.19441447593272,None,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
1,1,0,None,1,1,6,0,,,,,,,,,,,,,49.444204304832965,49.64414829201996,48.37760711996816,49.377406963845715,49.694093328900635,50.477730405982584,50.54424154991284,50.743948672898114,49.39418058982119,49.71084753097966,50.494266596855596,50.777424258878455,49.39418058982119,49.67737658997066,50.494266596855596,50.777424258878455,51.06095970189199,None,1,1.1807686190586537,51.06095970189199,None,52.26065435982309,None,53.52772712591104,None,space,0.7616657319013029,53.52772712591104,None,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
2,0,1,None,1,2,7,1,,,,,,,,,,,,,55.37738165981136,55.59406831488013,54.310903794830665,55.310653534019366,55.6271560320165,56.411040941020474,56.47745383786969,56.694086484843865,55.327323752921075,55.6271560320165,56.427334636915475,56.711507212836295,55.327323752921075,55.61200709687546,56.427334636915475,56.711507212836295,56.99418781185523,None,2,0.8725955500267446,56.99418781185523,None,57.89407714596018,None,59.16077189100906,None,space,0.697185296099633,59.16077189100906,None,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
1,1,0,None,1,3,8,4,,,,,,,,,,,,,60.943848695838824,61.14389331592247,59.87733871885575,60.877386847976595,61.19402872794308,61.97743898490444,62.043946058955044,62.243956167949364,60.89377743401565,61.19402872794308,61.99402189091779,62.277436489006504,60.89377743401565,61.17728677694686,61.99402189091779,62.277436489006504,62.560551662929356,None,2,0.5825552430469543,62.560551662929356,None,63.16074260789901,None,64.42800756590441,None,space,0.19994455995038152,64.42800756590441,None,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
1,1,0,None,1,4,9,2,,,,,,,,,,,,,65.72734639793634,65.92725331592374,64.66065934696235,65.66111842100509,65.97706032381393,66.76051947800443,66.8272806359455,67.04384891781956,65.67704010894522,65.97706032381393,66.77727871295065,67.06056072888896,65.67704010894522,65.96040954696946,66.77727871295065,67.06056072888896,67.34415505686775,None,1,0.22012218297459185,67.34415505686775,None,67.59388606785797,None,68.87753971782513,None,space,0.734319302951917,68.87753971782513,None,,001,2020_Apr_13_1543,BETA_002,3.1.2,60.01855821488765,
,,,,,,,,,,,,,,,,,,,,70.71047763200477,70.91043850895949,69.64386129681952,70.64385116193444,70.94364364002831,71.74384240503423,71.81051454297267,72.0107429928612,70.6604847558774,70.97710643801838,71.76048187795095,72.04395937686786,70.6604847558774,70.94364364002831,71.76048187795095,72.04395937686786,72.32717592292465,None,2,0.19829383306205273,72.32717592292465,None,72.54383477801457,None,,,,,,,,,,,,,
